,signal_id,entropy,n5,n25,n75,n95,median,mean,std,var,rms,no_zero_crossings,no_mean_crossings,min_height,max_height,mean_height,min_width,max_width,mean_width,num_detect_peak,num_true_peaks,fault
0,0,13.592362290909056,1704,1704,-0.000259723610004059,-0.00011403337635074173,0.0001070752434175759,0.00026287733376922906,-9.189109986706967e-06,8.057868871429243e-11,0.18479187312658726,0.03414803637363272,0.0034406277875394195,4.9259160468296574,19.30610945390584,8.891535973622531,1,2,1.2708333333333333,61,48,0
1,1,13.592364023779174,1372,1372,-0.00025340272244793737,-0.00011433965065843488,0.00011276889408984303,0.0002581090641227579,-7.619841444039821e-06,-6.43895372494918e-10,0.05597217052611143,0.0031328838734040964,0.0009338203203833069,3.1389868404853445,6.478299364664611,4.209381639453738,1,1,1.0,8,8,0
2,2,13.592364023779174,2790,2790,-0.00031831866009178754,-0.0001312668025734709,0.000133319287881406,0.0003222550281002156,-8.093555374344419e-06,-8.616642334621007e-13,0.18426779497789542,0.0339546202660157,0.003355958915140216,-13.128664993919747,11.882133574602612,-2.2143583505464792,1,1,1.0,7,7,0
3,3,13.592365756649292,83640,83640,-0.04715017033741606,-0.0027760018952895926,0.002741484966873209,0.04778950103762297,-5.572517132179655e-06,4.885218131410561e-08,0.4919869864364316,0.24205119482280152,0.032310566338959255,-46.343804043659404,50.5337711928487,-5.588842465514064,1,1,1.0,9,9,1
4,4,13.592365756649292,84814,84812,-0.05234879025659697,-0.00453333229736177,0.004495719367657358,0.05341913821043674,-9.478990925515518e-08,6.867856947933735e-08,0.19127617188173188,0.03658657392972983,0.026168816433102503,2.258548738734307,13.746560906300541,5.120079735733006,1,3,1.0923076923076922,142,130,1
5,5,13.592365756649292,79918,79918,-0.053072956743295305,-0.003972315338946153,0.0038967721816103307,0.0539830853483886,7.185240374241175e-06,9.362471204041275e-09,0.5086424353584886,0.2587171270474143,0.036439338534339685,14.40807683922059,26.94921103896727,18.93247914495655,1,2,1.2916666666666667,31,24,1
6,6,13.592364023779174,9164,9164,-0.0020639034403687083,-0.0002461841299368217,0.00023364922146118516,0.0020414151805466974,1.5301590803318277e-05,-1.949744627501631e-08,0.18240466067331412,0.03327146023534686,0.0023939931121105414,-20.493536670362303,-4.763828707463993,-11.80195174313424,1,2,1.25,10,8,0
7,7,13.592365756649292,10500,10500,-0.0025806974777683677,-0.00035922735342142076,0.0003350586889352414,0.002651222419262933,-4.34793046721893e-06,-2.7746196618325878e-08,0.05941695041975102,0.0035303739971831514,0.0014444360990913626,-5.338681127659348,-4.546162524301462,-4.853057787836315,1,1,1.0,5,5,0
8,8,13.592364023779174,1462,1462,-0.0004785909139849831,-0.00017865391716220813,0.000163599108532253,0.0005201606974075898,-1.142366132533823e-05,-8.86053759205746e-12,0.07567096381886393,0.005726094765275814,0.000732357789905249,4.261013364895705,8.494650018735275,6.221354014335527,1,2,1.5,3,2,0
9,9,13.592365756649292,103970,103970,-0.19438021114602105,-0.04338720188171763,0.0430819805862388,0.19511111301387918,4.157885471300915e-05,-1.5033093661835865e-07,4.212800432848908,17.74768748701195,0.305260528489174,0.0,0.0,0.0,0,0,0.0,0,0,0
