,signal_id,entropy,n5,n25,n75,n95,median,mean,std,var,rms,no_zero_crossings,no_mean_crossings,min_height,max_height,mean_height,min_width,max_width,mean_width,num_detect_peak,num_true_peaks,fault
0,0,12.90839814471356,-0.0001447874407194405,-2.077498447983217e-05,0.00019418527394243768,0.0003026920796065369,7.422182212835082e-05,8.217046909283217e-05,0.23917388841842904,0.057204148901191146,0.005261291284703198,1251,1132,-9.95360148558757,9.857978973139499,-3.27090382638127,1,1,1.0,10,10,0
1,1,12.889437131185266,-0.0001371596016022103,-2.3996584109120533e-05,0.00016364219894837717,0.00031255054551437844,7.708216921065159e-05,7.8607278078904e-05,0.0584733225897706,0.003419129454687377,0.0007425585564507143,536,692,-8.351897839572658,-8.351897839572658,-8.351897839572658,1,1,1.0,1,1,0
2,2,12.91408873395624,-0.00021300176286906942,-3.8226482923064964e-05,0.0002077799996567098,0.00039444861395958585,7.490870234772018e-05,8.428950880588899e-05,0.1596025978750103,0.02547298924845224,0.0025632003695832146,1350,1338,-8.826479363158395,9.391018786877115,-2.669807595148029,1,1,1.0,6,6,0
3,3,12.890307731083526,-0.04700567713482151,-0.002800147235808792,0.002891691212631997,0.04800397785901467,8.077009156970405e-05,9.319092349874267e-05,0.6668991622387312,0.44475449259472155,0.040555103271811055,41486,41638,-9.47079989958608,11.306665130687165,-1.3052936412189926,1,1,1.0,10,10,1
4,4,12.907006927760198,-0.05350316991712346,-0.004726687680038921,0.004870360902696547,0.054508612941657646,9.474292186695266e-05,8.656702345043529e-05,0.14335309192177537,0.02055010896353298,0.024167001485383838,43178,43200,7.346904018738002,7.346904018738002,7.346904018738002,1,1,1.0,1,1,1
5,5,12.89361414356929,-0.0513937685531439,-0.0037593443838292995,0.0038696091102554675,0.052652248138041015,9.882032307828581e-05,9.321767098060671e-05,0.2823143376439357,0.07970138523933415,0.028187688089621108,38252,38294,-9.89174863720573,9.340648290842525,-0.34603093791285877,1,1,1.0,8,8,1
6,6,12.90397503640549,-0.001544145911731487,-8.826950315721227e-05,0.00027797871233259386,0.0017820774544506702,9.917504623224715e-05,0.0001000806364655945,0.17127008961550527,0.02933344359690321,0.0020776417569831973,4214,4745,-9.207342305174379,-9.207342305174379,-9.207342305174379,1,1,1.0,1,1,0
7,7,12.89995955242513,-0.002830807657242751,-0.0002509891957025445,0.0004608461874697767,0.0031301034510744508,8.88689763591799e-05,0.0001063411233411522,0.08090988693815397,0.006546409804344858,0.0017864127336333566,5273,5385,0.0,0.0,0.0,0,0,0.0,0,0,0
8,8,12.892414220401509,-0.00034083960329320815,-4.8023242960937296e-05,0.0002499748905187005,0.0006163607241816526,8.348067703245476e-05,0.00010627466171189295,0.05200532256604866,0.00270455357519877,0.0005395739336283745,736,674,8.494650018735275,8.494650018735275,8.494650018735275,1,1,1.0,1,1,0
9,9,12.899709706079314,-0.19241133659414356,-0.04323407112311828,0.043062459496989725,0.19270989527678628,0.00014062904760159256,0.00010827624792590442,3.352198596262203,11.237235428782286,0.23856911761070726,51588,51568,-8.943306655415803,27.054917029108225,8.903079099224202,1,2,1.1,11,10,0
10,10,12.898589627556737,-0.135083043000599,-0.022620205687170714,0.02283230314544027,0.13375141779171212,0.00026791552548210973,0.00010594910102619256,1.5634208220554522,2.444284666836546,0.1210262242982681,46209,46197,-29.12192101195476,11.589699330172447,-10.743941639990066,1,1,1.0,5,5,0
11,11,12.891359010678249,-0.13942918465327636,-0.016748895071637904,0.017095590350674483,0.14085044087593068,0.0002195958346056237,0.00011531373965921375,4.320943866580096,18.67055589813615,0.2794172397140909,59630,59550,-30.983013241745006,39.48432795882892,4.571632302127021,1,2,1.0909090909090908,12,11,0
12,12,12.892175069963402,-0.03972993713553352,-0.0014444516321678869,0.001646606836926301,0.04032954262611394,0.00010022406791065919,9.396709856439593e-05,0.9802392806080754,0.9608690472470373,0.04093141097525629,38788,38916,-10.73283620411859,13.985390419849951,1.5997150644167337,1,1,1.0,7,7,0
