,signal_id,measurement_id,entropy,n5,n25,n75,n95,median,mean,std,var,rms,no_zero_crossings,no_mean_crossings,fault
0,0,0,13.592365756649292,3574,3574,-0.00026295859018805596,-0.00012311254424535178,0.00010807569854476284,0.0002772370239181754,-9.886017746651987e-06,-6.276407154899556e-11,0.18830936210149954,0.035460415855073674,0.0035181335380742368,0
1,1,0,13.592365756649292,3574,3574,-0.00026295859018805596,-0.00012311254424535178,0.00010807569854476284,0.0002772370239181754,-9.886017746651987e-06,-6.276407154899556e-11,0.18830936210149954,0.035460415855073674,0.0035181335380742368,0
2,2,0,13.592365756649292,3574,3574,-0.00026295859018805596,-0.00012311254424535178,0.00010807569854476284,0.0002772370239181754,-9.886017746651987e-06,-6.276407154899556e-11,0.18830936210149954,0.035460415855073674,0.0035181335380742368,0
3,3,1,13.592365756649292,66946,66946,-0.02945317333061821,-0.0010329147955525642,0.0010808664114740907,0.02985486024101076,-1.4197699252704865e-05,-8.653813024037979e-09,0.4805045845154185,0.23088465574033495,0.024564889980204136,1
4,4,1,13.592365756649292,66946,66946,-0.02945317333061821,-0.0010329147955525642,0.0010808664114740907,0.02985486024101076,-1.4197699252704865e-05,-8.653813024037979e-09,0.4805045845154185,0.23088465574033495,0.024564889980204136,1
5,5,1,13.592365756649292,66946,66946,-0.02945317333061821,-0.0010329147955525642,0.0010808664114740907,0.02985486024101076,-1.4197699252704865e-05,-8.653813024037979e-09,0.4805045845154185,0.23088465574033495,0.024564889980204136,1
6,6,2,13.592365756649292,14378,14394,-0.002209450567401916,-0.0002600038814364325,0.00023707796614225174,0.0021672218692959425,3.008199544751733e-05,-2.319395091733087e-08,0.18686736068878063,0.034919410490790836,0.002461833618461149,0
7,7,2,13.592365756649292,14378,14394,-0.002209450567401916,-0.0002600038814364325,0.00023707796614225174,0.0021672218692959425,3.008199544751733e-05,-2.319395091733087e-08,0.18686736068878063,0.034919410490790836,0.002461833618461149,0
8,8,2,13.592365756649292,14378,14394,-0.002209450567401916,-0.0002600038814364325,0.00023707796614225174,0.0021672218692959425,3.008199544751733e-05,-2.319395091733087e-08,0.18686736068878063,0.034919410490790836,0.002461833618461149,0
9,9,3,13.592365756649292,103716,103716,-0.18973980333073184,-0.04407263607461509,0.043925112519816345,0.1887981312136406,0.0001892891987935741,-2.6757507790082267e-09,4.19422661449579,17.591536893744816,0.30056707333581717,0
10,10,3,13.592365756649292,103716,103716,-0.18973980333073184,-0.04407263607461509,0.043925112519816345,0.1887981312136406,0.0001892891987935741,-2.6757507790082267e-09,4.19422661449579,17.591536893744816,0.30056707333581717,0
11,11,3,13.592365756649292,103716,103716,-0.18973980333073184,-0.04407263607461509,0.043925112519816345,0.1887981312136406,0.0001892891987935741,-2.6757507790082267e-09,4.19422661449579,17.591536893744816,0.30056707333581717,0
12,12,4,13.592364023779174,49894,49894,-0.013301092501168553,-0.0003766229800969967,0.00036779168520961747,0.013350914517400704,8.226483926065953e-06,-1.5921841002963012e-10,0.7450401614072899,0.5550848421098006,0.02295591896335751,0
13,13,4,13.592364023779174,49894,49894,-0.013301092501168553,-0.0003766229800969967,0.00036779168520961747,0.013350914517400704,8.226483926065953e-06,-1.5921841002963012e-10,0.7450401614072899,0.5550848421098006,0.02295591896335751,0
14,14,4,13.592364023779174,49894,49894,-0.013301092501168553,-0.0003766229800969967,0.00036779168520961747,0.013350914517400704,8.226483926065953e-06,-1.5921841002963012e-10,0.7450401614072899,0.5550848421098006,0.02295591896335751,0
15,15,5,13.592364023779174,1244,1244,-0.00019319241967616919,-9.916479304816761e-05,9.945607056138783e-05,0.00019914705405920107,5.676543505472864e-06,-9.530397802575139e-11,0.08869929762654445,0.007867565399442314,0.0008230802713941486,0
16,16,5,13.592364023779174,1244,1244,-0.00019319241967616919,-9.916479304816761e-05,9.945607056138783e-05,0.00019914705405920107,5.676543505472864e-06,-9.530397802575139e-11,0.08869929762654445,0.007867565399442314,0.0008230802713941486,0
17,17,5,13.592364023779174,1244,1244,-0.00019319241967616919,-9.916479304816761e-05,9.945607056138783e-05,0.00019914705405920107,5.676543505472864e-06,-9.530397802575139e-11,0.08869929762654445,0.007867565399442314,0.0008230802713941486,0
18,18,6,13.592365756649292,44050,44048,-0.026617350540416494,-0.004432341596177558,0.0043618921826222845,0.026609651839293036,8.627767423163846e-06,-1.2860704488046865e-08,0.8666836705893245,0.7511405848661847,0.02763792132562652,0
19,19,6,13.592365756649292,44050,44048,-0.026617350540416494,-0.004432341596177558,0.0043618921826222845,0.026609651839293036,8.627767423163846e-06,-1.2860704488046865e-08,0.8666836705893245,0.7511405848661847,0.02763792132562652,0
20,20,6,13.592365756649292,44050,44048,-0.026617350540416494,-0.004432341596177558,0.0043618921826222845,0.026609651839293036,8.627767423163846e-06,-1.2860704488046865e-08,0.8666836705893245,0.7511405848661847,0.02763792132562652,0
21,21,7,13.592365756649292,90026,90028,-0.16603265139187862,-0.034384015034014226,0.03337688745073053,0.16815601849974343,2.857984113724399e-05,-5.284184493047049e-07,0.12656928088195313,0.016019782862974747,0.06961513527785669,0
22,22,7,13.592365756649292,90026,90028,-0.16603265139187862,-0.034384015034014226,0.03337688745073053,0.16815601849974343,2.857984113724399e-05,-5.284184493047049e-07,0.12656928088195313,0.016019782862974747,0.06961513527785669,0
23,23,7,13.592365756649292,90026,90028,-0.16603265139187862,-0.034384015034014226,0.03337688745073053,0.16815601849974343,2.857984113724399e-05,-5.284184493047049e-07,0.12656928088195313,0.016019782862974747,0.06961513527785669,0
24,24,8,13.592365756649292,46630,46626,-0.00882296255704107,-0.0003694964624285646,0.00038391356346234584,0.009150392528596549,-9.044289392079463e-06,-4.691692601066791e-09,0.45673998579316694,0.2086114146223423,0.020086201649131965,0
25,25,8,13.592365756649292,46630,46626,-0.00882296255704107,-0.0003694964624285646,0.00038391356346234584,0.009150392528596549,-9.044289392079463e-06,-4.691692601066791e-09,0.45673998579316694,0.2086114146223423,0.020086201649131965,0
26,26,8,13.592365756649292,46630,46626,-0.00882296255704107,-0.0003694964624285646,0.00038391356346234584,0.009150392528596549,-9.044289392079463e-06,-4.691692601066791e-09,0.45673998579316694,0.2086114146223423,0.020086201649131965,0
27,27,9,13.592365756649292,61528,61528,-0.03409117964043014,-0.004641910189958409,0.00457431621066462,0.03450125525184225,-1.559553910340794e-05,1.0914755014954263e-08,0.13571931922265207,0.018419733610260138,0.016777178018352004,0
28,28,9,13.592365756649292,61528,61528,-0.03409117964043014,-0.004641910189958409,0.00457431621066462,0.03450125525184225,-1.559553910340794e-05,1.0914755014954263e-08,0.13571931922265207,0.018419733610260138,0.016777178018352004,0
29,29,9,13.592365756649292,61528,61528,-0.03409117964043014,-0.004641910189958409,0.00457431621066462,0.03450125525184225,-1.559553910340794e-05,1.0914755014954263e-08,0.13571931922265207,0.018419733610260138,0.016777178018352004,0
30,30,10,13.592365756649292,57864,57864,-0.07410209443464931,-0.016830661376185496,0.017026111435014535,0.07542501020524134,-0.00020244115413703412,1.7941558014993638e-07,0.07970388444695763,0.006352709195933974,0.03019633927487654,0
31,31,10,13.592365756649292,57864,57864,-0.07410209443464931,-0.016830661376185496,0.017026111435014535,0.07542501020524134,-0.00020244115413703412,1.7941558014993638e-07,0.07970388444695763,0.006352709195933974,0.03019633927487654,0
32,32,10,13.592365756649292,57864,57864,-0.07410209443464931,-0.016830661376185496,0.017026111435014535,0.07542501020524134,-0.00020244115413703412,1.7941558014993638e-07,0.07970388444695763,0.006352709195933974,0.03019633927487654,0
33,33,11,13.592365756649292,70690,70690,-0.15804668647302345,-0.053605710436154475,0.054202392887075845,0.1541806050040774,0.0008114324592902733,7.739689545783289e-08,0.2885269708193677,0.08324781289020024,0.07609581902805164,0
34,34,11,13.592365756649292,70690,70690,-0.15804668647302345,-0.053605710436154475,0.054202392887075845,0.1541806050040774,0.0008114324592902733,7.739689545783289e-08,0.2885269708193677,0.08324781289020024,0.07609581902805164,0
35,35,11,13.592365756649292,70690,70690,-0.15804668647302345,-0.053605710436154475,0.054202392887075845,0.1541806050040774,0.0008114324592902733,7.739689545783289e-08,0.2885269708193677,0.08324781289020024,0.07609581902805164,0
36,36,12,13.592365756649292,46214,46214,-0.00763908525611736,-0.0007994317212141056,0.0008095310169573544,0.007854524220510226,-7.19229798207266e-06,9.881601582516832e-10,0.25358037540428885,0.06430300679018007,0.013028600235855173,0
37,37,12,13.592365756649292,46214,46214,-0.00763908525611736,-0.0007994317212141056,0.0008095310169573544,0.007854524220510226,-7.19229798207266e-06,9.881601582516832e-10,0.25358037540428885,0.06430300679018007,0.013028600235855173,0
38,38,12,13.592365756649292,46214,46214,-0.00763908525611736,-0.0007994317212141056,0.0008095310169573544,0.007854524220510226,-7.19229798207266e-06,9.881601582516832e-10,0.25358037540428885,0.06430300679018007,0.013028600235855173,0
