,signal_id,entropy,n5,n25,n75,n95,median,mean,std,var,rms,no_zero_crossings,no_mean_crossings,min_height,max_height,mean_height,min_width,max_width,mean_width,num_detect_peak,num_true_peaks,fault
0,0,13.592362290909056,-0.000259723610004059,-0.00011403337635074173,0.0001070752434175759,0.00026287733376922906,-9.189109986706967e-06,8.057868871429243e-11,0.18479187312658726,0.03414803637363272,0.0034406277875394195,1704,1704,-7.626822701651168,6.7049957105275375,-0.79441810024193,1,1,1.0,19,19,0
1,1,13.592364023779174,-0.00025340272244793737,-0.00011433965065843488,0.00011276889408984303,0.0002581090641227579,-7.619841444039821e-06,-6.43895372494918e-10,0.05597217052611143,0.0031328838734040964,0.0009338203203833069,1372,1372,-5.691034319512814,6.478299364664611,1.3661248319017885,1,1,1.0,5,5,0
2,2,13.592364023779174,-0.00031831866009178754,-0.0001312668025734709,0.000133319287881406,0.0003222550281002156,-8.093555374344419e-06,-8.616642334621007e-13,0.18426779497789542,0.0339546202660157,0.003355958915140216,2790,2790,-5.8350823213967615,6.1354664082340165,0.6158788030267824,1,1,1.0,9,9,0
3,3,13.592365756649292,-0.04715017033741606,-0.0027760018952895926,0.002741484966873209,0.04778950103762297,-5.572517132179655e-06,4.885218131410561e-08,0.4919869864364316,0.24205119482280152,0.032310566338959255,83640,83640,-8.151121443898921,7.540264748803935,1.6880398043270601,1,1,1.0,26,26,1
4,4,13.592365756649292,-0.05234879025659697,-0.00453333229736177,0.004495719367657358,0.05341913821043674,-9.478990925515518e-08,6.867856947933735e-08,0.19127617188173188,0.03658657392972983,0.026168816433102503,84814,84812,-7.223442400607723,11.39203562750348,1.5969870050747756,1,1,1.0,12,12,1
5,5,13.592365756649292,-0.053072956743295305,-0.003972315338946153,0.0038967721816103307,0.0539830853483886,7.185240374241175e-06,9.362471204041275e-09,0.5086424353584886,0.2587171270474143,0.036439338534339685,79918,79918,-6.5730158689382066,5.8741762222752065,-1.2476014322842885,1,1,1.0,15,15,1
6,6,13.592364023779174,-0.0020639034403687083,-0.0002461841299368217,0.00023364922146118516,0.0020414151805466974,1.5301590803318277e-05,-1.949744627501631e-08,0.18240466067331412,0.03327146023534686,0.0023939931121105414,9164,9164,6.558082107640313,6.558082107640313,6.558082107640313,1,1,1.0,1,1,0
7,7,13.592365756649292,-0.0025806974777683677,-0.00035922735342142076,0.0003350586889352414,0.002651222419262933,-4.34793046721893e-06,-2.7746196618325878e-08,0.05941695041975102,0.0035303739971831514,0.0014444360990913626,10500,10500,-5.338681127659348,5.7204587126917,0.19088879251617596,1,1,1.0,2,2,0
8,8,13.592364023779174,-0.0004785909139849831,-0.00017865391716220813,0.000163599108532253,0.0005201606974075898,-1.142366132533823e-05,-8.86053759205746e-12,0.07567096381886393,0.005726094765275814,0.000732357789905249,1462,1462,0.0,0.0,0.0,0,0,0.0,0,0,0
9,9,13.592365756649292,-0.19438021114602105,-0.04338720188171763,0.0430819805862388,0.19511111301387918,4.157885471300915e-05,-1.5033093661835865e-07,4.212800432848908,17.74768748701195,0.305260528489174,103970,103970,-39.762369377773254,27.054917029108225,-0.09938761587278151,1,2,1.3333333333333333,20,15,0
10,10,13.592365756649292,-0.13188419036453175,-0.022575383285672324,0.02248934978414141,0.13162290749779826,4.257968057075345e-05,-1.0180162754107099e-07,1.3192777532334867,1.7404937901767967,0.11040561424174535,91496,91496,-35.723952726137625,36.870272257206594,1.3197694435517866,1,2,1.2222222222222223,22,18,0
11,11,13.592365756649292,-0.14475496212268907,-0.01757426550665997,0.017573820112133376,0.14481501623958176,1.361486756579211e-05,-1.269093542869994e-07,3.9131917373503016,15.31306957326667,0.2454524631247247,119922,119922,-30.983013241745006,39.48432795882892,2.183757005617732,1,2,1.0833333333333333,26,24,0
12,12,13.592365756649292,-0.0407698743123623,-0.0015426997608667392,0.0015818825839950534,0.04129174960537292,8.527948835990173e-07,-1.3369734797126957e-08,0.761366768365991,0.5796793559720727,0.034600380889652435,78340,78338,-14.747359482734861,6.963881312975255,-2.760208224584166,1,1,1.0,17,17,0
13,13,13.592365756649292,-0.050272692137161096,-0.0027883508246966393,0.0027733042524253904,0.050665607940746316,-5.087293478922561e-06,-4.253208041167841e-10,0.3277596047360088,0.10742635849670472,0.02732900645110194,87564,87564,-12.53026740203195,9.030572514454176,2.280531841308564,1,2,1.0714285714285714,15,14,0
14,14,13.592365756649292,-0.059390993996103175,-0.003215840983236351,0.0032496968136754845,0.060073527417448945,-4.124620174295046e-06,5.141418273872218e-09,0.7279933358385202,0.5299742970252964,0.03998009313712951,81960,81960,-7.050354699673365,20.08179813962397,3.142316656352305,1,2,1.1428571428571428,16,14,0
15,15,13.592365756649292,-0.00019527728927545284,-9.655057551594126e-05,0.00010227330090550879,0.000193577400185424,4.500501874282747e-06,2.7157969965503184e-10,0.08718881698946324,0.007601889808022114,0.0008023503568584596,270,270,-6.913554623149459,7.361704799507139,1.882092838855766,1,1,1.0,3,3,0
16,16,13.592362290909056,-0.00019957749661596582,-9.543940237088933e-05,9.549473726089275e-05,0.00020828656167033442,-1.6561388633817842e-06,9.87774379884823e-11,0.015151160237210443,0.00022955765653362678,0.000208350035087412,292,292,6.546788056071618,6.546788056071618,6.546788056071618,1,1,1.0,1,1,0
17,17,13.592360558038939,-0.00020864350560350075,-0.00010330966109473039,0.00010214560908838877,0.00021153593335174745,-2.513015991745249e-06,-4.4443502327390504e-10,0.0978724008061714,0.00957900683956386,0.0010108668593545064,334,334,-6.316835368155189,6.722400643443967,0.16141655892080564,1,1,1.0,4,4,0
18,18,13.592365756649292,-0.024232093035961008,-0.004225411595916384,0.004172981134140663,0.02427091895485177,4.573095075954825e-07,-1.7602186242705433e-08,0.876822763389336,0.7688181583977115,0.027779909929077036,34762,34760,-10.86108250189073,28.48528694962087,0.8636370277017236,1,2,1.1,11,10,0
19,19,13.592365756649292,-0.017239899337956596,-0.002841330900811734,0.002783516627842042,0.017268685613627353,-1.6485997935689056e-05,-1.199204551571068e-08,0.6307797186648436,0.39788305347889924,0.021555564210540334,33014,33012,-8.918354335823938,7.722840579149828,1.8520190002986208,1,2,1.105263157894737,21,19,0
20,20,13.592360558038939,-0.0006996682691495338,-0.00014972364270215976,0.00015920361907006964,0.000656045848277742,1.3865985117433866e-05,-2.5509745655927517e-09,0.5666685591317873,0.3211132559084959,0.013499475528584857,8432,8432,-9.54701639171873,6.182393293472204,-1.6841500950454438,1,1,1.0,5,5,0
21,21,13.592365756649292,-0.22881318463962755,-0.04519375591220598,0.04424092502082533,0.23240831881677648,-0.00026144502021807625,-5.197312119390475e-07,0.1628132946586893,0.026508168917617186,0.09180357405276804,91156,91154,0.0,0.0,0.0,0,0,0.0,0,0,0
22,22,13.592365756649292,-0.22625308495164917,-0.03595303954461837,0.03577671642360958,0.2283917702403849,-1.7388989897781926e-05,-3.5873557779361586e-07,0.15914827832848313,0.025328174494920332,0.08536441826974239,92644,92642,0.0,0.0,0.0,0,0,0.0,0,0,0
23,23,13.592365756649292,-0.1456578953518238,-0.020717160746618113,0.020209750277257577,0.147151594872907,-0.00019287490083108594,-1.711412646239151e-07,0.10825950623940876,0.011720120691200583,0.05458682249565367,90472,90472,0.0,0.0,0.0,0,0,0.0,0,0,0
24,24,13.592365756649292,-0.03460408736709279,-0.0006056577233191085,0.0006091725098977818,0.03538104236587481,-9.312242315928643e-06,-4.4212859343602215e-08,0.469201466658186,0.22015001631419287,0.027634042179063838,63065,63071,-9.809480475057619,8.922074616767052,-2.8334630134856087,1,1,1.0,25,25,0
25,25,13.592365756649292,-0.05859758887645885,-0.0017788071019907842,0.001732779529305617,0.05906773798002752,8.731866908640029e-06,-1.2853218669896308e-07,0.24638563791370674,0.0607058825701442,0.0273282107224916,71823,71819,-9.623725755592716,8.370836403365184,0.5597936299455785,1,2,1.1428571428571428,16,14,0
26,26,13.592365756649292,-0.06132673950958303,-0.0015078214689214775,0.0015009235233299778,0.062282718897052135,-1.992496987790471e-06,3.4677049070044674e-08,0.5700936590940686,0.32500678013926415,0.034421636455211256,68625,68627,-10.291007775330772,6.750263387796938,-2.673430761597027,1,1,1.0,25,25,0
27,27,13.592365756649292,-0.05676475670371541,-0.009806917934138681,0.009695420679669553,0.057922483058037245,5.019645996640065e-06,2.7667933245606972e-08,0.15744635330100487,0.02478935416778485,0.028837529796914334,72892,72890,-7.902469427613745,7.639783851869023,-2.5588074860467622,1,1,1.0,15,15,0
28,28,13.592365756649292,-0.06513247625035264,-0.010772113836282404,0.010471040678193155,0.06619974023146251,-5.243576515212567e-06,5.820651359804112e-08,0.08188017725992425,0.006704363428116616,0.029713061241525535,76298,76300,-6.780932610382438,6.949673623365108,0.14454300042893675,1,1,1.0,4,4,0
29,29,13.592365756649292,-0.06906944118498046,-0.011698972034634991,0.011532314365878538,0.0712945929397179,8.100783055908778e-06,-1.8490960525425463e-08,0.1442027975682256,0.020794446826502652,0.03391772299319892,74364,74366,-7.559652103228633,6.478315827724625,-0.1810698935609066,1,1,1.0,10,10,0
30,30,13.592365756649292,-0.060160392598186174,-0.012904733437160587,0.01312864867037522,0.06021365654531578,3.168359834782031e-05,6.6672849055498575e-09,0.07724584267727969,0.005966920210923044,0.024670522433525084,44984,44984,0.0,0.0,0.0,0,0,0.0,0,0,0
31,31,13.592365756649292,-0.07339677979744294,-0.019435201979088768,0.01960583443592867,0.07406278788727487,-8.356905632034284e-05,3.42768391742335e-08,0.14355511529199091,0.020608071126496805,0.03253284778963155,49598,49598,-5.295288666966844,6.665255713956228,0.23550451724631896,1,1,1.0,6,6,0
32,32,13.592365756649292,-0.009834303463654947,-0.0007188173505161544,0.0007282303370139687,0.010171138006528843,8.497263003448552e-06,-1.4509732512464884e-08,0.08718920086205095,0.007601956746963066,0.004501128673303225,29612,29610,0.0,0.0,0.0,0,0,0.0,0,0,0
33,33,13.592365756649292,-0.1800864251696673,-0.06101741815813799,0.06241739860900408,0.17501533532154787,0.0011273659623740606,6.603128178528652e-07,0.3176520689919382,0.10090283693485906,0.08888013232494138,62982,62982,-6.480823463463581,5.47100073654903,-3.855592700037128,1,1,1.0,6,6,0
34,34,13.592365756649292,-0.16279956237355167,-0.05383447230477767,0.05490128420508267,0.15914218938208646,0.0007555964555869821,-1.2118342256012735e-08,0.2572270620584994,0.06616576145524708,0.08309448670129324,66486,66486,-9.110483722368247,10.801091893476544,2.8477014625081463,1,1,1.0,71,71,0
35,35,13.592365756649292,-0.10926601853725693,-0.034323903395272026,0.03463285192335519,0.10697753674723295,0.0006088511908970418,-4.468726992824262e-07,0.21132414698686097,0.044657895099724426,0.05423002565770601,66070,66068,-7.001541231726673,9.366210971818179,1.270246749226743,1,2,1.0833333333333333,13,12,0
36,36,13.592365756649292,-0.04468277297533216,-0.002017557766907263,0.0020321387045498795,0.044349092237348384,3.869553207636045e-06,-2.3160674137909626e-08,0.2722202184070028,0.07410384730955628,0.025083879559192952,66772,66772,-8.138667408406134,7.190916124204316,-0.6297706463474104,1,1,1.0,23,23,0
37,37,13.592365756649292,-0.044827502272533695,-0.0023364976591593867,0.002321612991127875,0.04553081706825668,1.2456115829451164e-05,-9.12546754730299e-09,0.1305149531768982,0.017034153002767935,0.02142126080637289,70002,70004,-19.19429149562914,9.42917121376524,0.6225925290182217,1,1,1.0,9,9,0
38,38,13.592365756649292,-0.05869951592535347,-0.00300864940789225,0.002981029870307239,0.059641770058836446,2.759297526466753e-06,6.515241218874569e-09,0.3005448958898232,0.09032723444542466,0.029887897217448493,66344,66344,-5.797573371287482,7.102811024096645,-0.2531377138893809,1,1,1.0,13,13,0
39,39,13.592365756649292,-0.010973175300974523,-0.00025586907448915674,0.0002557857740379532,0.011311772616100611,-6.952527055403834e-06,2.821085637543304e-09,0.39621105647857785,0.1569832012758708,0.019154006013942758,41332,41332,-7.8275851740132065,7.4629825878079625,-1.981933829740365,1,1,1.0,24,24,0
40,40,13.592365756649292,-0.021979607322074914,-0.0004773644551649969,0.0004813196094279881,0.02269015044706567,7.143844387158538e-07,-1.1689357681972905e-10,0.1636058992794435,0.026766890279035407,0.01600097935665246,52606,52606,-6.966549309857367,8.238520991210207,-0.2527282075923049,1,1,1.0,17,17,0
41,41,13.592364023779174,-0.000927831016639935,-0.00022898628137646426,0.00022006077957348325,0.0009602399482358636,1.27513242631494e-07,9.412222907268945e-10,0.33464240739192086,0.11198554082506033,0.012040612248226562,19608,19608,-6.987688474985504,6.361043846041898,-0.8623952631944762,1,1,1.0,16,16,0
42,42,13.592365756649292,-0.045209312494768734,-0.0003728256384574191,0.00038587488337249454,0.04521691794436553,-1.1034864058956373e-05,1.8230837233510426e-10,0.3168466279478825,0.10039178564194388,0.02966325465237238,84234,84234,-8.989935729846003,9.06069928690139,-1.6060648610506443,1,1,1.0,22,22,0
43,43,13.592364023779174,-0.025963751040317624,-0.0003641634629773516,0.0003814326023490189,0.025880061399661744,-1.7386496029558884e-06,1.995190377254885e-09,0.15366219272536183,0.02361206947316624,0.018708840660942572,70676,70676,5.007997681954063,8.006211016716103,6.433146194783073,1,1,1.0,13,13,0
44,44,13.592365756649292,-0.010536666820285045,-0.0002437145672624652,0.0002561594955793056,0.010511210541350468,5.5582156974764985e-06,-5.390363469864577e-10,0.28029075827083094,0.0785629091720374,0.017147289823839857,50666,50666,-6.571053680118471,6.308848695251946,0.19335097201123036,1,1,1.0,21,21,0
45,45,13.592365756649292,-0.005246513342996639,-0.0005785999028784516,0.0005912335364390842,0.005261908798883969,-3.991590418195301e-06,1.8995616883540656e-08,0.034078978410778706,0.001161376769522321,0.005562788120524813,20854,20854,-5.038681051542913,-5.038681051542913,-5.038681051542913,1,1,1.0,1,1,0
46,46,13.592365756649292,-0.020549076183187152,-0.00445462835716004,0.004492593248548893,0.020540150832772497,2.984005528983147e-05,-3.0656988350016656e-08,0.0767423628388184,0.005889390254084854,0.01915720812858435,34278,34278,0.0,0.0,0.0,0,0,0.0,0,0,0
47,47,13.592365756649292,-0.011902113343684205,-0.0020798797688534876,0.0021222582669491175,0.011873452675786563,1.2535971343652363e-05,-9.291235222142891e-10,0.050144037484581724,0.0025144244952551367,0.011102683620266661,26350,26350,0.0,0.0,0.0,0,0,0.0,0,0,0
48,48,13.592365756649292,-0.04694916016955482,-0.004006949921839809,0.00391761499903609,0.04877921304853548,-3.300212866719221e-05,-4.27695312035361e-09,0.9200021350441981,0.846403928485883,0.047357558880646924,74656,74656,-23.46184468642103,9.640541634104572,-0.7612358466849551,1,1,1.0,24,24,0
49,49,13.592365756649292,-0.0513179151627801,-0.00461482617444986,0.004534935539471263,0.052681432305178647,-2.5821851648899496e-05,-3.6691203459447495e-08,0.858293942438726,0.7366684916270112,0.04037911021824511,75998,75998,-25.62046708699055,9.020056063183361,-0.3816812393142048,1,1,1.0,22,22,0
50,50,13.592365756649292,-0.05517614049814199,-0.00491221034783873,0.004794688835870531,0.05714082349261837,-3.6855462491658386e-05,-3.638324375781905e-08,0.960556238699016,0.922668287703601,0.051262866768494335,72246,72248,-32.33141980273081,6.59902434823519,-2.5491357822150422,1,1,1.0,17,17,0
51,51,13.592365756649292,-0.23937166578853628,-0.07340679314280285,0.0758128687248929,0.23510891366234643,-0.0010006447630193094,-3.9052590515965574e-08,0.14952443314884384,0.022357556108483074,0.10476550597814564,71808,71808,0.0,0.0,0.0,0,0,0.0,0,0,0
