,signal_id,measurement_id,entropy,n5,n25,n75,n95,median,mean,std,var,rms,no_zero_crossings,no_mean_crossings,fault
0,0,0,13.592362290909056,1626,1626,-0.0002632468792187481,-0.0001214535802072092,0.0001053618331203765,0.00027702506796991596,-2.3400741504531197e-06,2.526108413941883e-11,0.1870033889414402,0.03497026747558356,0.0036726180196936815,0
1,1,0,13.592362290909056,1626,1626,-0.0002632468792187481,-0.0001214535802072092,0.0001053618331203765,0.00027702506796991596,-2.3400741504531197e-06,2.526108413941883e-11,0.1870033889414402,0.03497026747558356,0.0036726180196936815,0
2,2,0,13.592362290909056,1626,1626,-0.0002632468792187481,-0.0001214535802072092,0.0001053618331203765,0.00027702506796991596,-2.3400741504531197e-06,2.526108413941883e-11,0.1870033889414402,0.03497026747558356,0.0036726180196936815,0
3,3,1,13.592365756649292,69944,69942,-0.03806565816159022,-0.002089993303533433,0.0020853223034063006,0.03817369012680842,8.274069104530213e-06,2.289409299837139e-08,0.4840296859264846,0.23428473685809134,0.028629648231473463,1
4,4,1,13.592365756649292,69944,69942,-0.03806565816159022,-0.002089993303533433,0.0020853223034063006,0.03817369012680842,8.274069104530213e-06,2.289409299837139e-08,0.4840296859264846,0.23428473685809134,0.028629648231473463,1
5,5,1,13.592365756649292,69944,69942,-0.03806565816159022,-0.002089993303533433,0.0020853223034063006,0.03817369012680842,8.274069104530213e-06,2.289409299837139e-08,0.4840296859264846,0.23428473685809134,0.028629648231473463,1
6,6,2,13.592365756649292,4734,4732,-0.0020565988570577787,-0.00022654508855646238,0.00020300922327765036,0.0020011583311070743,8.202958017733408e-06,-2.543348775682241e-09,0.17824124110281042,0.03176994002987019,0.0023311333497554017,0
7,7,2,13.592365756649292,4734,4732,-0.0020565988570577787,-0.00022654508855646238,0.00020300922327765036,0.0020011583311070743,8.202958017733408e-06,-2.543348775682241e-09,0.17824124110281042,0.03176994002987019,0.0023311333497554017,0
8,8,2,13.592365756649292,4734,4732,-0.0020565988570577787,-0.00022654508855646238,0.00020300922327765036,0.0020011583311070743,8.202958017733408e-06,-2.543348775682241e-09,0.17824124110281042,0.03176994002987019,0.0023311333497554017,0
9,9,3,13.592365756649292,103388,103388,-0.22139842352963193,-0.05079111718369678,0.05038778785950804,0.22108507447540443,-0.00012396509341883188,1.9504317633644472e-08,4.229710333396431,17.890449504440546,0.31807506166885813,0
10,10,3,13.592365756649292,103388,103388,-0.22139842352963193,-0.05079111718369678,0.05038778785950804,0.22108507447540443,-0.00012396509341883188,1.9504317633644472e-08,4.229710333396431,17.890449504440546,0.31807506166885813,0
11,11,3,13.592365756649292,103388,103388,-0.22139842352963193,-0.05079111718369678,0.05038778785950804,0.22108507447540443,-0.00012396509341883188,1.9504317633644472e-08,4.229710333396431,17.890449504440546,0.31807506166885813,0
12,12,4,13.592365756649292,50900,50900,-0.019843867806499563,-0.0005074123935315811,0.0005159513804020577,0.020194064331721277,-1.185133248782222e-05,-1.585752957975037e-09,0.7496603970456622,0.5619907108986599,0.026273639533703434,0
13,13,4,13.592365756649292,50900,50900,-0.019843867806499563,-0.0005074123935315811,0.0005159513804020577,0.020194064331721277,-1.185133248782222e-05,-1.585752957975037e-09,0.7496603970456622,0.5619907108986599,0.026273639533703434,0
14,14,4,13.592365756649292,50900,50900,-0.019843867806499563,-0.0005074123935315811,0.0005159513804020577,0.020194064331721277,-1.185133248782222e-05,-1.585752957975037e-09,0.7496603970456622,0.5619907108986599,0.026273639533703434,0
15,15,5,13.592360558038939,224,224,-0.00020129111724962454,-9.513914640102428e-05,0.00010720276709186294,0.00020080522493206576,-2.948724755924559e-06,1.9202443308140728e-10,0.09079043652463885,0.008242903364334475,0.0008645767248444778,0
16,16,5,13.592360558038939,224,224,-0.00020129111724962454,-9.513914640102428e-05,0.00010720276709186294,0.00020080522493206576,-2.948724755924559e-06,1.9202443308140728e-10,0.09079043652463885,0.008242903364334475,0.0008645767248444778,0
17,17,5,13.592360558038939,224,224,-0.00020129111724962454,-9.513914640102428e-05,0.00010720276709186294,0.00020080522493206576,-2.948724755924559e-06,1.9202443308140728e-10,0.09079043652463885,0.008242903364334475,0.0008645767248444778,0
18,18,6,13.592365756649292,23782,23780,-0.02161024691070401,-0.0040388535125632785,0.004039984962977972,0.02147147350199762,2.3055958344286864e-05,7.839548530128536e-09,0.8709262007066148,0.7585124470772585,0.026896850994965017,0
19,19,6,13.592365756649292,23782,23780,-0.02161024691070401,-0.0040388535125632785,0.004039984962977972,0.02147147350199762,2.3055958344286864e-05,7.839548530128536e-09,0.8709262007066148,0.7585124470772585,0.026896850994965017,0
20,20,6,13.592365756649292,23782,23780,-0.02161024691070401,-0.0040388535125632785,0.004039984962977972,0.02147147350199762,2.3055958344286864e-05,7.839548530128536e-09,0.8709262007066148,0.7585124470772585,0.026896850994965017,0
21,21,7,13.592365756649292,79582,79582,-0.2345128133369201,-0.04555149917932777,0.04442445077333801,0.23767253239985026,-0.00033725699990760916,-6.863336714893184e-07,0.1555890162000801,0.024207941962108785,0.09069547462424632,0
22,22,7,13.592365756649292,79582,79582,-0.2345128133369201,-0.04555149917932777,0.04442445077333801,0.23767253239985026,-0.00033725699990760916,-6.863336714893184e-07,0.1555890162000801,0.024207941962108785,0.09069547462424632,0
23,23,7,13.592365756649292,79582,79582,-0.2345128133369201,-0.04555149917932777,0.04442445077333801,0.23767253239985026,-0.00033725699990760916,-6.863336714893184e-07,0.1555890162000801,0.024207941962108785,0.09069547462424632,0
24,24,8,13.592365756649292,40037,40033,-0.013075322783454179,-0.0003688362082563401,0.00037337559953254384,0.013065630102969777,-4.641753978518182e-06,-1.2172961145118476e-07,0.45693522918650153,0.2087898036717207,0.020751971775096023,0
25,25,8,13.592365756649292,40037,40033,-0.013075322783454179,-0.0003688362082563401,0.00037337559953254384,0.013065630102969777,-4.641753978518182e-06,-1.2172961145118476e-07,0.45693522918650153,0.2087898036717207,0.020751971775096023,0
